id,educ,ln_wage,pexp,time,ability,meduc,feduc,broken_home,siblings,pexp2
4,12,2.14,2,4,.26,12,10,1,4,4
6,15,1.91,4,4,.44,12,16,0,2,16
8,13,2.32,8,4,.51,12,15,1,2,64
11,14,1.64,1,4,1.82,16,17,1,2,1
12,13,2.16,6,4,-1.3,13,12,0,5,36
13,12,2.09,7,4,-.63,12,12,1,4,49
14,12,2.2,6,4,-.36,10,12,1,2,36
15,12,2.12,3,4,.28,10,12,1,3,9
17,12,1.76,6,4,-.01,9,10,1,2,36
19,12,3.01,7,4,-.69,12,12,1,3,49
20,14,2.55,5,4,1.04,12,14,0,6,25
21,12,2.47,4,4,1.18,12,16,0,2,16
24,12,1.59,2,4,-.94,12,17,0,3,4
33,12,1.76,9,4,.18,6,7,0,3,81
34,14,2.37,4,4,1.17,10,12,0,2,16
36,14,2.34,2,4,1.61,16,12,0,2,4
37,11,3.01,5,4,.41,11,10,0,1,25
38,14,2.47,1,4,1.62,16,16,0,1,1
39,13,2.01,8,4,-1.06,12,14,0,7,64
40,13,3.05,6,4,.51,14,15,0,7,36
42,11,2.35,5,4,.48,9,12,0,5,25
47,12,1.79,3,4,.88,12,12,1,2,9
48,12,2.08,6,4,-.59,12,14,1,0,36
49,9,1.62,5,4,.2,12,12,0,3,25
50,15,1.88,1,4,1.4,16,17,0,2,1
51,14,1.62,1,4,.93,16,18,0,2,1
52,12,2.25,4,4,.91,10,12,0,3,16
53,13,2.86,3,4,.98,13,12,0,0,9
54,11,2.39,6,4,.15,12,12,0,2,36
55,12,2.42,7,4,1.07,12,14,0,2,49
56,12,1.76,1,4,.29,12,12,0,3,1
59,16,2.92,4,4,.45,12,12,0,1,16
63,13,1.91,1,4,.61,16,17,0,1,1
64,12,2.55,7,4,-.9,12,12,0,2,49
67,9,2.39,6,4,-.89,11,12,1,2,36
69,12,2.67,5,4,.58,12,16,0,3,25
71,14,2.56,3,4,.25,12,12,1,2,9
72,15,3.01,5,4,.56,12,12,0,2,25
78,9,1.47,5,4,-1.03,11,11,0,6,25
79,12,2.35,7,4,.32,12,12,0,3,49
82,12,1.62,1,4,-.05,11,9,0,2,1
83,12,2.7,7,4,.44,12,12,0,2,49
84,14,2.67,3,4,1.56,12,18,0,3,9
85,12,2.43,4,4,.04,12,12,0,4,16
86,12,2.57,7,4,.15,12,13,0,4,49
87,15,2.46,3,4,.68,12,18,0,0,9
88,12,1.96,4,4,.73,12,16,0,3,16
89,13,1.98,5,4,.45,12,12,1,6,25
91,12,2.34,6,4,-.34,16,13,0,2,36
95,12,2.6,7,4,-.41,12,12,0,5,49
99,15,2.2,3,4,1.05,12,18,0,2,9
100,12,1.88,2,4,-1,12,12,0,2,4
105,14,1.93,2,4,-.02,12,8,0,2,4
106,12,2.67,8,4,-.15,12,12,0,4,64
107,12,2.67,7,4,-.75,12,12,0,4,49
109,12,2.23,6,4,-1.32,12,16,0,3,36
110,12,2.32,6,4,-.21,12,12,0,4,36
113,15,2.23,5,4,.64,12,12,0,3,25
115,15,2.34,3,4,.99,14,14,0,8,9
117,14,2.16,2,4,.91,12,18,0,2,4
118,10,2.44,7,4,.2,12,12,0,2,49
119,12,2.73,6,4,1.29,11,12,0,3,36
120,12,2.24,3,4,1.05,11,12,0,3,9
121,12,2.35,5,4,1.29,12,12,0,5,25
122,16,1.9,4,4,.9,16,16,0,6,16
125,12,2.04,6,4,-.59,14,11,0,7,36
126,12,2.06,5,4,.25,12,16,0,1,25
129,12,2.83,8,4,-.47,12,12,0,4,64
130,12,1.88,7,4,-2.27,12,12,0,2,49
131,12,1.87,5,4,-2.01,12,11,0,2,25
132,12,1.85,2,4,.42,8,8,0,4,4
133,12,2.23,4,4,-.67,7,12,1,5,16
139,12,2.48,4,4,-.34,12,12,0,4,16
140,12,1.58,1,4,-.43,12,12,0,4,1
142,15,2.2,4,4,.02,12,14,0,2,16
145,12,2.5,6,4,.38,12,12,0,1,36
146,13,1.85,5,4,.8,12,12,0,3,25
148,11,1.76,2,4,-.61,16,12,0,3,4
152,16,1.85,4,4,.12,12,12,0,2,16
155,12,2.32,9,4,-.03,12,10,0,4,81
156,11,1.69,5,4,-1.09,12,10,0,4,25
162,12,2.16,6,4,-.81,12,11,0,4,36
163,12,2.86,5,4,.97,16,12,0,3,25
166,12,2.16,2,4,1.48,12,12,0,2,4
169,12,3.08,6,4,-1.01,11,11,0,2,36
174,12,2.31,6,4,-1.06,12,12,0,1,36
175,12,2.77,6,4,-.06,12,10,0,2,36
177,12,1.79,4,4,.07,12,16,0,3,16
179,15,2.71,5,4,.76,12,12,0,3,25
184,12,2.25,5,4,-.34,12,12,0,5,25
185,12,1.71,5,4,.98,12,12,0,4,25
186,12,1.64,1,4,1.89,12,12,0,4,1
187,12,1.85,1,4,.38,12,16,1,3,1
190,11,1.67,6,4,-.15,12,12,0,3,36
191,12,2.2,7,4,1.06,12,12,1,1,49
192,12,2.4,8,4,.69,12,15,1,1,64
196,12,1.86,2,4,-1.01,16,16,0,7,4
200,12,2.38,4,4,.54,12,15,0,1,16
201,12,1.96,2,4,.35,12,15,0,1,4
204,12,2.29,5,4,.49,12,18,0,1,25
205,16,2.44,5,4,1.04,17,17,0,2,25
208,12,2.39,7,4,-.24,12,16,0,5,49
210,12,1.69,2,4,1.12,12,10,0,2,4
212,12,1.62,8,4,-2.31,8,4,0,10,64
213,12,2.9,6,4,-.88,12,12,0,2,36
223,12,2.24,4,4,-.44,8,8,1,4,16
226,12,2.52,6,4,.36,12,12,0,2,36
228,11,2.12,8,4,-.34,11,12,1,6,64
232,12,1.64,8,4,.11,12,12,0,3,64
233,12,1.91,6,4,.23,12,12,0,3,36
234,12,2.53,8,4,-.35,8,8,0,1,64
235,11,1.67,2,4,-.34,12,8,1,6,4
236,12,1.7,2,4,.32,14,12,0,1,4
243,12,2.16,5,4,-1.08,14,8,1,4,25
246,12,2.94,6,4,.03,12,14,0,1,36
251,12,2.19,8,4,-1.22,10,10,0,6,64
255,15,2.9,4,4,.29,12,17,0,4,16
256,12,2.73,5,4,1.7,12,12,1,1,25
257,12,.55,3,4,0,12,13,0,0,9
259,12,1.96,4,4,.46,11,12,0,2,16
265,18,1.27,0,4,.9,12,13,0,1,0
266,12,1.94,6,4,.3,16,17,0,1,36
268,12,3.22,8,4,-1.11,12,12,0,1,64
269,12,.7,4,4,-1,12,16,0,1,16
272,12,1.75,1,4,-1.43,8,11,0,1,1
274,12,1.57,4,4,.19,12,11,0,4,16
275,12,2.48,6,4,.19,13,12,1,1,36
276,12,2.66,7,4,1.38,12,12,0,3,49
278,12,1.69,4,4,.66,11,12,1,4,16
279,12,2.28,6,4,-.25,14,16,0,3,36
280,12,2.85,6,4,.32,12,16,0,1,36
281,13,2.16,4,4,1.26,15,18,0,3,16
284,13,2.03,4,4,1.27,16,17,0,4,16
288,12,2.17,7,4,-.76,14,14,1,3,49
